Songs,My_valence,Mmt_valence,Spotify_valence,My_energy,Mmt_energy,Spotify_energy,My_danceability,Mmt_danceability,Spotify_danceability
Cherry,0.428571,-0.0933333333333333,-0.316,0.714,-0.0092592592592593,0.0679810800159244,0.2,-0.0350877192982455,-0.0873983739837398
Take One Deep Breath,-1.000000,-0.36,-0.718,-0.714,-0.75,-0.91178845116806,-0.4,-0.692982456140351,-0.0795918367346938
Heaven Drips,-1.000000,-0.413333333333333,0.132,-0.714,-0.425925925925926,-0.055097406812826,-0.4,-0.605263157894737,0.53469387755102
Study Music Academia,-1.000000,-0.68,-0.23,-1.000,-1,-0.913438842808509,-1.0,-0.842105263157895,-0.089430894308943
Take My Breath,1.000000,0.6,-0.292,1.000,0.611111111111111,0.537990621209611,1.0,0.894736842105263,0.41869918699187
Yeda Poinado,-0.428571,-0.466666666666667,-0.766,0.143,-0.287037037037037,-0.234025050708529,0.0,-0.736842105263158,-0.0995934959349593
Tumhi Dekho Naa,-0.428571,0.226666666666667,-0.288,-0.429,-0.287037037037037,-0.104022411654957,-0.2,-0.0789473684210525,0.0670731707317073
After Hours,0.714286,-0.0933333333333333,-0.714,0.429,-0.0092592592592593,0.143982622847244,0.4,0.0526315789473683,0.349593495934959
Climbing Up the Walls,0.428571,-0.168,-0.558,0.714,-1.11022302462516E-16,0.311986033316476,-0.6,-0.578947368421053,-0.50609756097561
Diva,0.714286,0.28,0.286,0.714,0.0555555555555555,0.687993666271425,0.8,0.368421052631579,0.583333333333334
