id,Latitude,Longitude
0,222734,147888
1,219848,135914
2,218667,150614
3,225372,132720
4,229191,138826
5,229736,122330
6,216992,142044
7,225368,140817
8,221318,134120
9,224649,134159
10,215221,136418
11,222585,133625
12,220149,141591
13,217907,124609
14,220061,120380
15,213192,148331
16,218233,152895
17,220225,150491
18,225572,135135
19,228981,137228
20,232666,137586
21,220770,149542
22,221223,150355
23,222094,148141
24,217790,144354
25,222215,135339
26,219570,143566
27,250036,132632
28,227509,142456
29,242247,135142
30,221598,134600
31,230322,130629
32,219044,151105
33,233196,139877
34,240495,140320
35,218958,157758
36,224065,135668
37,221278,134348
38,237861,134819
39,225475,128653
40,212698,122703
41,212168,141402
42,224930,139637
43,236257,131248
44,230170,133152
45,221029,143106
46,215331,150682
47,227693,144321
48,228934,138240
49,223908,136064
50,219896,143029
51,227036,134220
52,212925,142361
53,213390,145763
54,232852,129726
55,218912,139745
56,230868,135172
57,223615,135826
58,226379,133891
59,229165,129304
60,219467,148299
61,214956,149250
62,223608,145772
63,230558,146639
64,227980,140231
65,223947,136086
66,219867,130106
67,219008,137043
68,225485,142065
69,231665,144481
70,225589,146407
71,227446,147933
72,225592,132630
73,222353,130878
74,218930,125606
75,211385,146796
76,211414,144232
77,214065,145863
78,221427,142180
79,218641,147632
80,218386,152349
81,212030,146349
82,215640,138395
83,216891,138179
84,231368,140795
85,219645,150094
86,226976,147992
87,204744,139694
88,222298,134902
89,223845,140851
90,222828,141671
91,229910,139382
92,220926,135185
93,227612,124283
94,226008,130391
96,219811,132336
97,223578,132220
98,216736,120840
99,232735,144710
100,225184,138676
101,230738,143937
102,218052,144520
103,227231,145456
104,222437,148555
105,218160,150775
106,224612,143742
107,218074,139975
108,223271,150807
109,216410,150449
110,227750,143523
111,224596,129226
112,223841,139964
113,224052,121217
114,230981,139117
115,220654,144129
116,223037,138363
117,233218,141179
118,221705,145369
119,230109,145517
120,219901,152450
121,229781,145106
122,220335,143752
123,222530,134040
124,230273,145116
125,219990,132008
126,225387,136507
127,216674,147188
128,221839,135483
129,210792,144043
130,210372,147309
131,220178,133145
132,218968,140244
133,216805,137603
134,219380,142435
135,230665,138112
136,237712,137730
137,228973,142458
138,215303,150349
139,223486,140906
140,217803,151613
141,220097,144613
142,222439,141540
143,214558,142447
144,231880,134571
147,224316,146929
148,226035,142025
149,225023,145590
150,214960,140855
151,227694,141483
152,231085,139519
153,212597,135836
154,219883,126905
155,235862,133642
156,229385,132302
157,231429,131375
162,220032,147751
163,222262,146385
164,214655,140392
165,219352,143332
166,208569,143307
167,218568,139457
168,211418,145870
169,216534,143596
170,217988,125308
171,233271,126159
172,225647,131072
173,232710,119521
174,231310,131779
175,224243,137560
176,220824,132636
177,218081,130070
178,222595,134751
179,224765,134678
180,227278,149106
181,231113,139221
182,221896,148898
183,212562,143369
184,218563,125736
185,222232,138942
186,231976,141061
187,227910,131839
188,236993,137433
189,220485,140853
190,234980,134733
191,222948,135452
192,221969,129598
193,217553,125168
194,231062,143734
195,230148,136473
196,228896,134394
197,230847,142368
198,218074,133201
199,225567,141834
200,223071,138053
201,231345,140549
202,217799,144625
203,225137,139698
204,244383,133758
205,228173,131603
206,232247,132875
207,229182,135116
208,228940,131748
209,213388,136319
210,215718,141277
211,217409,139462
212,221036,138618
213,231654,130501
214,227497,142664
215,224859,126599
216,224039,140681
217,220840,138946
218,225443,139326
219,226160,140689
220,234016,140246
221,233537,142524
222,218735,138840
223,225538,134812
224,227305,133872
225,229716,141409
226,219602,135679
227,215051,140235
228,212904,136231
229,216664,150974
230,226370,143485
231,225956,140051
232,216883,140909
233,214322,143077
234,230159,145150
235,231390,143590
236,223459,148520
237,206789,114129
238,221114,128877
239,210967,123606
240,213935,142123
241,218820,142389
242,218666,142467
243,225801,128807
244,221145,130729
245,230413,132467
246,220129,145138
247,218935,146847
248,229202,145959
249,211124,117712
250,211919,123137
251,211725,121429
252,224394,143090
253,214559,145458
254,228046,141985
255,221248,137428
256,224087,141049
257,215242,144582
258,214387,137645
259,215670,141545
260,222709,142483
261,219535,146268
262,220903,138505
263,231004,143153
264,226616,142374
265,227584,137224
266,242192,134651
267,221621,142232
268,228053,124600
269,224257,142471
270,224060,152283
271,222835,147359
272,224928,146951
273,219145,134017
274,210930,146403
275,212506,145668
276,219560,147224
277,225932,137797
278,221590,145831
279,231389,142508
280,233003,140777
281,216509,125924
282,221929,143396
283,229386,147420
284,213884,145069
285,225984,150086
286,224581,145893
287,225539,147544
288,214915,141129
289,220184,140748
290,217137,135216
291,219317,131549
292,223935,144963
293,217845,141193
294,226791,138742
295,211657,146392
296,218556,133348
297,227960,140071
298,222112,146169
299,223332,140054
300,231360,138622
301,228950,142653
302,228051,139327
303,223323,149121
304,226499,143264
305,223440,141903
306,217449,141447
307,220673,142872
308,217989,144389
309,229632,140736
310,220449,146073
311,221295,140437
312,221434,135962
313,221467,146019
314,227144,146749
315,225796,146334
316,221691,142881
317,224033,140837
318,224704,149814
319,228501,146863
320,226954,140839
321,217647,129103
322,220634,139874
323,224450,129410
324,215674,116115
325,215679,117706
326,206797,121227
327,209798,139670
328,209289,142519
329,204418,146438
330,221117,141872
331,222388,148467
332,218840,142163
333,222468,144131
334,224488,145093
335,227586,142188
336,231596,134039
337,218960,141351
338,235877,133242
339,228281,145794
340,222106,148784
341,222109,148454
342,231496,123086
343,231639,132303
344,228801,129913
345,225930,141477
346,221112,143950
347,215811,148196
348,232876,141562
349,216936,149523
350,213838,120706
351,224405,142630
352,227239,133844
353,225339,134086
354,215899,127046
355,213926,123065
356,220996,127324
357,215900,131215
358,222573,135122
359,221355,124965
360,217278,142211
361,209846,142834
362,210300,146198
363,224424,131932
364,226281,137159
365,233361,135084
366,213212,146153
367,211509,144087
368,215253,136247
369,0,0
370,0,0
371,0,0
372,0,0
373,0,0
374,0,0
375,0,0
376,0,0
377,0,0
378,0,0
379,0,0
380,0,0
381,0,0
382,0,0
383,0,0
384,0,0
385,0,0
386,0,0
387,0,0
388,0,0
389,0,0
390,0,0
391,0,0
392,0,0
393,0,0
394,0,0
395,0,0
396,0,0
397,0,0
398,0,0
399,0,0
400,0,0
401,0,0
402,0,0
403,0,0
404,0,0
405,0,0
406,0,0
407,0,0
408,0,0
409,0,0
410,0,0
411,0,0
412,0,0
413,0,0
414,0,0
415,0,0
416,0,0
417,0,0
418,0,0
419,0,0
420,0,0
421,0,0
422,0,0
423,0,0
424,0,0
425,0,0
426,0,0
427,0,0
428,0,0
429,0,0
430,0,0
431,0,0
432,0,0
433,0,0
434,0,0
435,0,0
436,0,0
437,0,0
438,0,0
439,0,0
440,0,0
441,0,0
442,0,0
443,0,0
444,0,0
445,0,0
446,0,0
447,0,0
448,0,0
449,0,0
450,0,0
451,0,0
452,0,0
453,0,0
454,0,0
455,0,0
456,0,0
457,0,0
458,0,0
459,0,0
460,0,0
461,0,0
462,0,0
463,0,0
464,0,0
465,0,0
466,0,0
467,0,0
468,0,0
469,0,0
470,0,0
471,0,0
472,0,0
473,0,0
474,0,0
475,0,0
476,0,0
477,0,0
478,0,0
479,0,0
480,0,0
481,0,0
482,0,0
483,0,0
484,0,0
485,0,0
486,0,0
487,0,0
488,0,0
489,0,0
490,0,0
491,0,0
492,0,0
493,0,0
494,0,0
495,0,0
496,0,0
497,0,0
498,0,0
499,0,0
500,0,0
501,0,0
502,0,0
503,0,0
504,0,0
505,0,0
506,0,0
507,0,0
508,0,0
509,0,0
510,0,0
511,0,0
512,0,0
513,0,0
514,0,0
515,0,0
516,0,0
517,0,0
518,0,0
519,0,0
520,0,0
521,0,0
522,0,0
523,0,0
524,0,0
525,0,0
526,0,0
527,0,0
528,0,0
529,0,0
530,0,0
531,0,0
532,0,0
533,0,0
534,0,0
535,0,0
536,0,0
537,0,0
538,0,0
539,0,0
540,0,0
541,0,0
542,0,0
543,0,0
544,0,0
545,0,0
546,0,0
547,0,0
548,0,0
549,0,0
550,0,0
551,0,0
552,0,0
553,0,0
554,0,0
555,0,0
556,0,0
557,0,0
558,0,0
559,0,0
560,0,0
561,0,0
562,0,0
563,0,0
564,0,0
565,0,0
566,0,0
567,0,0
568,0,0
569,0,0
570,0,0
571,0,0
572,0,0
573,0,0
574,0,0
575,0,0
576,0,0
577,0,0
578,0,0
579,0,0
580,0,0
581,0,0
582,0,0
583,0,0
584,0,0
585,0,0
586,0,0
587,0,0
588,0,0
589,0,0
590,0,0
591,0,0
592,0,0
593,0,0
594,0,0
595,0,0
596,0,0
597,0,0
598,0,0
599,0,0
600,0,0
601,0,0
602,0,0
603,0,0
604,0,0
605,0,0
606,0,0
607,0,0
608,0,0
609,0,0
610,0,0
611,0,0
612,0,0
613,0,0
614,0,0
615,0,0
616,0,0
617,0,0
618,0,0
619,0,0
620,0,0
621,0,0
622,0,0
623,0,0
624,0,0
625,0,0
626,0,0
627,0,0
628,0,0
629,0,0
630,0,0
631,0,0
632,0,0
633,0,0
634,0,0
635,0,0
636,0,0
637,0,0
638,0,0
639,0,0
640,0,0
641,0,0
642,0,0
643,0,0
644,0,0
645,0,0
646,0,0
647,0,0
648,0,0
649,0,0
650,0,0
651,0,0
652,0,0
653,0,0
654,0,0
655,0,0
656,0,0
657,0,0
658,0,0
659,0,0
660,0,0
661,0,0
662,0,0
663,0,0
664,0,0
665,0,0
666,0,0
667,0,0
668,0,0
669,0,0
670,0,0
671,0,0
672,0,0
673,0,0
674,0,0
675,0,0
676,0,0
677,0,0
678,0,0
679,0,0
680,0,0
681,0,0
682,0,0
683,0,0
684,0,0
685,0,0
686,0,0
687,0,0
688,0,0
689,0,0
690,0,0
691,0,0
692,0,0
693,0,0
694,0,0
695,0,0
696,0,0
697,0,0
698,0,0
699,0,0
700,0,0
701,0,0
702,0,0
703,0,0
704,0,0
705,0,0
706,0,0
707,0,0
708,0,0
709,0,0
710,0,0
711,0,0
712,0,0
713,0,0
714,0,0
715,0,0
716,0,0
717,0,0
718,0,0
719,0,0
720,0,0
721,0,0
722,0,0
723,0,0
724,0,0
725,0,0
726,0,0
727,0,0
728,0,0
729,0,0
730,0,0
731,0,0
732,0,0
733,0,0
734,0,0
735,0,0
736,0,0
737,0,0
